year,PRR,CI_lower,CI_upper,num_reports
2004,16.4589693046,10.984082091,24.6627499983,26
2005,16.8137930833,12.5003358013,22.6156834778,54
2006,17.3566570009,13.5674527695,22.2041342149,100
2007,17.1936463738,13.6954435618,21.5853889138,116
2008,16.456641388,13.322626151,20.327902525,136
2009,18.1296104524,15.0069579918,21.9020254029,170
2010,14.9449824087,12.4655840716,17.9175318151,179
2011,13.6134534443,11.4147657035,16.2356477122,196
2012,12.3161209653,10.4524946995,14.5120222485,221
2013,13.0842587532,11.255587882,15.2100298016,249
2014,13.2304329283,11.4804379994,15.2471844263,275
2015,13.2304329283,11.4804379994,15.2471844263,275
2016,13.2304329283,11.4804379994,15.2471844263,275
